symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
FSHR	0.496645905884593	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.7740647750255968	No data	No data	No data	No data	No data	No data	0.34825058052327396	No data	0.7028225300208719	1	1	0	1	1	0	0.3741	No data	0.18433535576392712	-0.9286623537076649	0	No data	No data	0	0.75	0.5
ESR1	0.3710086789474572	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5530481561605719	No data	No data	No data	No data	No data	No data	0.7327233469995923	No data	0.819004156475766	1	0	0	1	1	1	0.4789900000000003	1	-0.734142305570877	-0.9363843084471015	0	-1	-1	0	0.5	0
GNRHR	0.34716504920223257	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5319394479101685	No data	No data	No data	No data	No data	No data	0.03343619386863916	No data	0.7675534035616433	1	1	0	1	1	0	0.4664650000000002	1	-0.30204081632653057	-0.34855870278109824	0	No data	No data	0	1	1
CYP19A1	0.29250181817918036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.4559480982087158	No data	No data	No data	No data	No data	No data	0.22342576203729708	No data	0.40460330383099197	1	0	0	1	1	0	0	1	-0.29718698290126866	-0.9635524742637774	0	-1	No data	0	1	0
SLC22A11	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	0	No data	No data	0.2399338113623828	No data	0	No data	No data	0	0.75	0.5
CACNA2D1	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7891849999999998	No data	-0.7554329840044126	-0.7040638983698507	0	No data	No data	0	0.5	0
SLC22A6	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.25454500000000024	No data	-0.06001103143960285	-0.21929867103040152	0	-1	No data	0	1	0.5
SLC22A8	0.25870589827929125	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.42555155832813474	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0	No data	0.059680088251516716	-0.17073779750080204	0	No data	No data	0	0.75	0.5
PPIA	0.10522759751439426	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.17309140765330877	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	1	1	1	0	0.7878799999999998	No data	-0.7628240485383342	-0.8842997159954985	-1	No data	No data	-0.6515149999999998	-1	-1
NR3C1	0.11452071149106419	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1654922726831635	No data	No data	No data	No data	No data	No data	0.4577120361359618	No data	No data	1	0	0	1	1	1	0.5109400000000001	1	-0.8916712630998346	-0.9535439454461969	0	-1	No data	0	-1	-1
