symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
DNAH1	0.7952255969623486	No data	No data	0.9426870666701996	No data	No data	0.607930797611621	0.9421515329208274	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.25309668622896436	No data	0.8308517282294794	No data	0	0	0	0	0	0.4560400000000001	No data	-0.35333701047986765	-0.26244914628911875	0	No data	No data	0	-1	0
NR5A1	0.787393529032542	No data	No data	0.910062456936817	0.865457038266544	No data	0.607930797611621	0.9066612367713315	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1449945418668944	No data	0.6968397302492731	No data	0	0	1	1	1	0.685465	0	-0.8761169332597905	-0.8832380491460503	0	No data	No data	-0.06182250000000007	0.75	0.5
DNHD1	0.760537165201269	No data	No data	0.8376404824536124	No data	No data	0.607930797611621	0.9360722249447112	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.9351486712211243	No data	0	0	0	0	0	0	No data	-0.124765581908439	0	0	No data	No data	0	0.5	0
DNAH10	0.7390887786305531	No data	No data	0.8330739686742618	No data	No data	0.607930797611621	0.8897742701710087	0.607930797611621	0.3039653988058105	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1615446532177844	No data	0.9342274478085381	No data	0	0	0	0	0	0.3985599999999998	No data	-0.34550468836183124	0	0	No data	No data	0	0.5	0.5
DNAH17	0.7372275953327395	No data	No data	0.8664583816212229	No data	No data	0.607930797611621	0.865457038266544	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1379075130488902	No data	0.9477668262604079	No data	0	0	0	0	0	0.5708199999999998	No data	-0.18896856039713184	0	No data	No data	No data	-0.07776750000000003	0.75	0.5
CFAP43	0.736351729807966	No data	No data	0.8636994825609949	No data	No data	0.607930797611621	0.865457038266544	0.607930797611621	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.2702966556509269	No data	0.9645432834614954	No data	0	0	0	0	0	0	No data	-0.3173745173745174	-0.6717387950940764	0	No data	No data	No data	0.75	0
TEX15	0.7345801361721309	No data	No data	0.8864207442362726	No data	No data	0.607930797611621	0.865457038266544	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.269781708221297	No data	0.7672810644455134	No data	0	0	0	0	0	0	No data	-0.302261445118588	-0.05989725164884496	0	No data	No data	No data	0.75	0.5
DPY19L2	0.7305318786029918	No data	No data	0.8254066293096798	No data	No data	0.607930797611621	0.8897742701710087	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07613206485001166	No data	0.8649302478504568	No data	0	0	0	0	0	0	No data	-0.3934914506343078	0	0	No data	No data	-0.03694000000000006	0.5	0
NANOS1	0.7251632924016367	No data	No data	0.5957721816593886	No data	No data	0.607930797611621	0.9360722249447112	0.607930797611621	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.07607971525355067	No data	No data	No data	0	0	0	0	0	0	No data	0.8986210700496415	0	0	No data	No data	0	0.5	0
SUN5	0.7204266304850727	No data	No data	0.8433519989867214	No data	No data	0.607930797611621	0.9066612367713315	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.11025707650860844	No data	0.9721508507661482	No data	0	0	0	0	0	0	No data	0.3097628240485384	-0.7191101782576517	0	No data	No data	0	1	1
