GENE	SCORE
11xCbxE-3D-F10(41-179)	0.03333333333333333
11xCbxE-PROS1	0.03333333333333333
12xCbxE-3D-F9(47-461)	0.03333333333333333
12xCbxE-3D-HC-C178-F9(47-191)	0.016666666666666666
12xFucT-8xGlcS-6xFucS-NOTCH4(24-2003)	0.03333333333333333
14xGlcS-10xFucT-4xFucS-NOTCH3(40-2321)	0.03333333333333333
16S	0.025
17xFucT-14xGlcS-2xFucS-NOTCH1(19-2555)	0.03333333333333333
18xFucT-16xGlcS-FucS-NOTCH2(26-2471)	0.03333333333333333
19xFucT-16xGlcS-2xFucS-NOTCH1(19-1664)	0.041666666666666664
2-Methylbutyryl-lipoH2-K105-DBT	0.025
2xHC-INS(25-54)	0.15
2xHC-TXN	0.15
2xHC-TXN2	0.025
2xMe-SNRPB	0.025
2xMe-SNRPD1	0.025
2xMe-SNRPD3	0.025
2xMyri-IL1A	0.041666666666666664
2xN4GlycoAsn-LY96	0.041666666666666664
2xN4GlycoAsn-TLR4	0.058333333333333334
2xPalmC-MyrG-NOS3	0.041666666666666664
2xPalmC-MyrG-p-S1177-NOS3	0.08333333333333333
3,4-Hyp	0.08333333333333333
3,4-hydroxyprolyl	0.08333333333333333
3OHD110-F9(29-461)	0.03333333333333333
3x4Hyp-3Hyp-5Hyl-COL1A1	0.09166666666666666
3x4Hyp-3Hyp-5Hyl-COL1A2	0.09166666666666666
3x4Hyp-3Hyp-5Hyl-COL2A1(182-1241)	0.06666666666666667
3x4Hyp-3Hyp-5Hyl-COL3A1	0.06666666666666667
3x4Hyp-3Hyp-5Hyl-COL4A1(173-1669)	0.025
3x4Hyp-3Hyp-5Hyl-COL4A2(184-1712)	0.025
3x4Hyp-3Hyp-5Hyl-COL4A3(29-1670)	0.025
3x4Hyp-3Hyp-5Hyl-COL4A4	0.025
3x4Hyp-3Hyp-5Hyl-COL4A5	0.041666666666666664
3x4Hyp-3Hyp-5Hyl-COL4A6	0.025
3x4Hyp-3Hyp-5Hyl-COL5A3	0.08333333333333333
3x4Hyp-3Hyp-COL1A1	0.09166666666666666
3x4Hyp-3Hyp-COL1A2	0.09166666666666666
3x4Hyp-3Hyp-COL2A1(182-1241)	0.06666666666666667
3x4Hyp-3Hyp-COL3A1	0.06666666666666667
3x4Hyp-3Hyp-COL4A1(173-1669)	0.025
3x4Hyp-3Hyp-COL4A2(184-1712)	0.025
3x4Hyp-3Hyp-COL4A3(29-1670)	0.025
3x4Hyp-3Hyp-COL4A4	0.025
3x4Hyp-3Hyp-COL4A5	0.041666666666666664
