Term	ID	es	nes	pval	sidak	fdr	geneset_size	leading_edge	propagated_edge
Diseases of glycosylation	R-HSA-3781865	-0.5402255921613056	-3.6089817710386005	0.0003074012070494181	0.16819865127963662	0.10397552863083723	12	ADAMTSL2,LARGE1,ADAMTS2,ADAMTS12,ADAMTS15,OGN,ADAMTS16	ADAMTS1,ADAMTS10,ADAMTS12,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,ADAMTSL1,ADAMTSL2,ADAMTSL3,ADAMTSL4,ADAMTSL5,AGRN,ALG1,ALG11,ALG12,ALG13,ALG14,ALG2,ALG3,ALG6,ALG8,ALG9,B3GALT6,B3GAT3,B3GLCT,B4GALT1,B4GALT7,B4GAT1,BCAN,BGN,C1GALT1,C1GALT1C1,CFP,CHST14,CHST3,CHST6,CHSY1,CSPG4,CSPG5,CTSA,DAG1,DCN,DHDDS,DOLK,DPAGT1,DPM1,DPM2,DPM3,EXT1,EXT2,FMOD,GALE,GALK1,GALM,GALNT12,GALNT3,GALT,GFPT1,GLB1,GNE,GPC1,GPC2,GPC3,GPC4,GPC5,GPC6,HEXA,HEXB,HSPG2,KERA,LARGE1,LFNG,LUM,MAN1B1,MGAT2,MOGS,MPDU1,MPI,MUC1,MUC12,MUC13,MUC15,MUC16,MUC17,MUC19,MUC2,MUC20,MUC21,MUC3A,MUC3B,MUC4,MUC5AC,MUC5B,MUC6,MUC7,MUCL1,NCAN,NEU1,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NUS1,OGN,OMD,PAPSS2,PGM1,PMM2,POMGNT1,POMT1,POMT2,PRELP,RFT1,SBSPON,SDC1,SDC2,SDC3,SDC4,SEMA5A,SEMA5B,SLC26A2,SPON1,SPON2,SRD5A3,SSPOP,ST3GAL3,THBS1,THBS2,THSD1,THSD4,THSD7A,THSD7B,VCAN
PTEN Regulation	R-HSA-6807070	-0.533036196129697	-3.5560780131487673	0.0003764323403880887	0.20190322909579062	0.10397552863083723	12	EGR1,AKT2,LAMTOR1,SCMH1,ATN1,UBB,AKT1,BMI1,MIR205	AGO1,AGO2,AGO3,AGO4,AKT1,AKT2,AKT3,ATF2,ATN1,BMI1,CBX2,CBX4,CBX6,CBX8,CHD3,CHD4,CNOT6L,CSNK2A1,CSNK2A2,CSNK2B,EED,EGR1,EZH2,FRK,GATAD2A,GATAD2B,HDAC1,HDAC2,HDAC3,HDAC5,HDAC7,JUN,KDM1A,LAMTOR1,LAMTOR2,LAMTOR3,LAMTOR4,LAMTOR5,MAF1,MAPK1,MAPK3,MBD3,MECOM,MIR106A,MIR106B,MIR17,MIR19A,MIR19B1,MIR19B2,MIR205,MIR20A,MIR20B,MIR21,MIR214,MIR22,MIR25,MIR26A1,MIR26A2,MIR93,MKRN1,MLST8,MOV10,MTA1,MTA2,MTA3,MTOR,NEDD4,NR2E1,OTUD3,PHC1,PHC2,PHC3,PML,PPARG,PREX2,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,PTEN,PTENP1,RBBP4,RBBP7,RCOR1,REST,RHEB,RING1,RNF146,RNF2,RPS27A,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,SALL4,SCMH1,SEM1,SLC38A9,SNAI1,SNAI2,STUB1,SUZ12,TNKS,TNKS2,TNRC6A,TNRC6B,TNRC6C,TP53,TRIM27,UBA52,UBB,UBC,USP13,USP7,VAPA,WWP2,XIAP
Regulation of CDH1 posttranslational processing and trafficking to plasma membrane	R-HSA-9768727	-0.6774566023933911	-3.1685354387576887	0.0015320906942681844	0.6008532206394388	0.10397552863083723	5	SEC11C,CTNNB1,CANX	ARHGAP32,CANX,CDH1,CSNK2A1,CSNK2A2,CSNK2A3,CSNK2B,CTNNB1,DAD1,DDOST,FURIN,GANAB,JUP,MOGS,OST4,OSTC,PCSK6,PCSK7,PIP5K1C,POMT1,POMT2,PRKCSH,RPN1,RPN2,SEC11A,SEC11C,SPCS1,SPCS2,SPCS3,STT3A,TMEM258
Regulation of PTEN gene transcription	R-HSA-8943724	-0.6708215297450393	-3.1318265845695823	0.0017372245379210227	0.6470759574651922	0.10397552863083723	5	EGR1,SCMH1,LAMTOR1,ATN1,BMI1	ATN1,BMI1,CBX2,CBX4,CBX6,CBX8,CHD3,CHD4,EED,EGR1,EZH2,GATAD2A,GATAD2B,HDAC1,HDAC2,HDAC3,HDAC5,HDAC7,JUN,KDM1A,LAMTOR1,LAMTOR2,LAMTOR3,LAMTOR4,LAMTOR5,MAF1,MAPK1,MAPK3,MBD3,MECOM,MLST8,MTA1,MTA2,MTA3,MTOR,NR2E1,PHC1,PHC2,PHC3,PPARG,PTEN,RBBP4,RBBP7,RCOR1,REST,RHEB,RING1,RNF2,RPTOR,RRAGA,RRAGB,RRAGC,RRAGD,SALL4,SCMH1,SLC38A9,SNAI1,SNAI2,SUZ12,TP53
Diseases associated with O-glycosylation of proteins	R-HSA-3906995	-0.50904749719964	-3.0920358948176747	0.0019878880999226745	0.6963653399879616	0.10397552863083723	11	ADAMTSL2,LARGE1,ADAMTS12,ADAMTS15,ADAMTS2,ADAMTS16	ADAMTS10,ADAMTS12,ADAMTS13,ADAMTS14,ADAMTS15,ADAMTS16,ADAMTS17,ADAMTS18,ADAMTS19,ADAMTS2,ADAMTS20,ADAMTS3,ADAMTS4,ADAMTS5,ADAMTS6,ADAMTS7,ADAMTS8,ADAMTS9,ADAMTSL1,ADAMTSL2,ADAMTSL3,ADAMTSL4,ADAMTSL5,B3GLCT,B4GAT1,C1GALT1,C1GALT1C1,CFP,DAG1,GALNT12,GALNT3,LARGE1,LFNG,MUC1,MUC12,MUC13,MUC15,MUC16,MUC17,MUC19,MUC2,MUC20,MUC21,MUC3A,MUC3B,MUC4,MUC5AC,MUC5B,MUC6,MUC7,MUCL1,NOTCH1,NOTCH2,NOTCH3,NOTCH4,POMGNT1,POMT1,POMT2,SBSPON,SEMA5A,SEMA5B,SPON1,SPON2,SSPOP,THBS1,THBS2,THSD1,THSD4,THSD7A,THSD7B
Phase II - Conjugation of compounds	R-HSA-156580	-0.6163602761488897	-3.064519916626745	0.0021801965735472884	0.7294676029536937	0.10397552863083723	8	SULT1A2,SULT1A1,GGT1,GGT3P	ABHD14B,ACSM1,ACSM2A,ACSM2B,ACSM4,ACSM5,AHCY,AKR1A1,AS3MT,BPNT1,BPNT2,CHAC1,CHAC2,CNDP2,COMT,CYP1A2,ESD,GCLC,GCLM,GGCT,GGT1,GGT3P,GGT5,GGT6,GGT7,GLYAT,GLYATL1,GLYATL2,GLYATL3,GSS,GSTA1,GSTA2,GSTA3,GSTA4,GSTA5,GSTK1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTO1,GSTO2,GSTP1,GSTT1,GSTT2,GSTT2B,GSTZ1,HPGDS,MAT1A,MAT2A,MAT2B,MGST1,MGST2,MGST3,MTR,MTRR,N6AMT1,NAT1,NAT2,NNMT,OPLAH,PODXL2,SLC35D1,SLC35D2,SULT1A1,SULT1A2,SULT1A3,SULT1A4,SULT1B1,SULT1C2,SULT1C4,SULT1E1,SULT2A1,SULT2B1,SULT4A1,SULT6B1,TPMT,TPST1,TPST2,TRMT112,UGDH,UGP2,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UGT3A1,UGT3A2,UXS1
SARS-CoV-1 Infection	R-HSA-9678108	-0.46806322097501074	-3.0641798699235334	0.0021826763577073027	0.7298700281750763	0.10397552863083723	12	VHL,CANX,RIGI,STING1,UBB,CTSL,BCL2L1,YWHAE,TMPRSS2,ST3GAL4	1a,3a,3b,6,7a,8b,9b,ACE2,BCL2L1,BECN1,BST2,CANX,CASP1,CAV1,CHMP2A,CHMP2B,CHMP3,CHMP4A,CHMP4B,CHMP4C,CHMP6,CHMP7,CTSL,DDX5,E,EEF1A1,EP300,FAU,FKBP1A,GALNT1,GANAB,GSK3A,GSK3B,HNRNPA1,IFIH1,IKBKE,IRAK2,IRF3,ITCH,KPNA2,KPNB1,M,MAP1LC3B,MAVS,MGAT1,MOGS,MPP5,N,NFKB1,NFKBIA,NLRP3,NMI,NPIPB3,NPM1,PARP10,PARP14,PARP16,PARP4,PARP6,PARP8,PARP9,PCBP2,PDPK1,PIK3C3,PIK3R4,PKLR,PPIA,PPIB,PPIG,PPIH,PRKCSH,PSMC6,PYCARD,RB1,RCAN3,RELA,RIGI,RIPK1,RIPK3,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS27L,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS4Y2,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,RUNX1,S,SARS coronavirus, complete genome,SERPINE1,SFN,SFTPD,SIKE1,SMAD3,SMAD4,SP1,ST3GAL1,ST3GAL2,ST3GAL3,ST3GAL4,ST6GAL1,ST6GALNAC2,ST6GALNAC3,ST6GALNAC4,STING1,SUMO1,TBK1,TKFC,TLR7,TMPRSS2,TOMM70,TRAF3,TRAF6,TRIM25,UBA52,UBB,UBC,UBE2I,UVRAG,VCP,VHL,YWHAB,YWHAE,YWHAG,YWHAH,YWHAQ,YWHAZ,ZCRB1,rep
Metabolism of steroid hormones	R-HSA-196071	-0.579216354344123	-3.063653732530781	0.0021865182999967203	0.7304923277511971	0.10397552863083723	9	CGA,HSD17B14,HSD17B1,LHB,STAR,CYP17A1,CYP19A1,HSD17B3,CYP11A1	AKR1B15,CGA,CYP11A1,CYP11B1,CYP11B2,CYP17A1,CYP19A1,CYP21A2,FDX1,FDX2,FDXR,HSD11B1,HSD11B2,HSD17B1,HSD17B11,HSD17B12,HSD17B14,HSD17B2,HSD17B3,HSD3B1,HSD3B2,LHB,POMC,SERPINA6,SRD5A1,SRD5A2,SRD5A3,STAR,STARD3,STARD3NL,STARD4,STARD6,STS,TSPO,TSPOAP1
Transcriptional Regulation by MECP2	R-HSA-8986944	-0.5420201793533294	-3.062591635406252	0.0021942928019986763	0.7317472297038337	0.10397552863083723	10	CAMK4,AURKB,PTPN1,SOX2,HIPK2,OPRM1,SST	AGO2,AGO3,AGO4,AURKB,BDNF,CALM1,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CREB1,CRH,DGCR8,DLL1,FKBP5,FOXG1,GAD1,GAD2,GAMT,GPRIN1,GPS2,GRIA2,GRIN2A,GRIN2B,HDAC1,HDAC2,HDAC3,HIPK2,HTT,IRAK1,LBR,MECP2,MEF2C,MET,MIR132,MIR137,MOBP,MOV10,NCOR1,NCOR2,NOTCH1,OPRK1,OPRM1,PPARG,PRKACA,PTEN,PTPN1,PTPN4,PVALB,RBFOX1,SGK1,SIN3A,SLC2A3,SOX2,SST,TBL1X,TBL1XR1,TNRC6A,TNRC6B,TNRC6C,TRPC3
Host Interactions of HIV factors	R-HSA-162909	-0.5048207225586775	-3.061618051861215	0.0022014416382531987	0.7328959925663732	0.10397552863083723	11	RANBP2,NDC1,RANBP1,FYN,UBB,BTRC,AP1G1,ADRM1,ELMO1	ADRM1,AP1B1,AP1G1,AP1M1,AP1M2,AP1S1,AP1S2,AP1S3,AP2A1,AP2A2,AP2B1,AP2M1,AP2S1,APOBEC3G,ARF1,ATP6V1H,B2M,BANF1,BTRC,CCNT1,CD247,CD28,CD4,CD8B,CDK9,CUL5,DOCK2,ELMO1,ELOB,ELOC,FYN,HCK,HLA-A,HMGA1,KPNA1,KPNB1,LCK,NDC1,NPM1,NUP107,NUP133,NUP153,NUP155,NUP160,NUP188,NUP205,NUP210,NUP214,NUP35,NUP37,NUP42,NUP43,NUP50,NUP54,NUP58,NUP62,NUP85,NUP88,NUP93,NUP98,PACS1,PAK2,POM121,POM121C,PPIA,PSIP1,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMB1,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD6,PSMD7,PSMD8,RAC1,RAE1,RAN,RANBP1,RANBP2,RANGAP1,RBX1,RCC1,RPS27A,SEC13,SEH1L,SEM1,SKP1,SLC25A4,SLC25A5,SLC25A6,TPR,UBA52,UBB,UBC,XPO1,gag,gag-pol,nef,rev,tat,vif,vpr,vpu
