GENE	SCORE
(Glc)3(GlcNAc)2(Man)9-CTSC	0.04
(Glc)3(GlcNAc)2(Man)9-CTSZ	0.04
(Glc)3(GlcNAc)2(Man)9-SERPINA1	0.04
10xCbxE-F2(25-622)	0.04
10xCbxE-F2(44-622)	0.04
10xCbxE-F7(21-466)	0.04
11xCbxE-3D-F10(32-179)	0.04
11xCbxE-3D-F10(41-179)	0.05333333333333334
11xCbxE-GAS6(31-678)	0.04
11xCbxE-GAS6(39-678)	0.04
11xCbxE-PROS1	0.05333333333333334
11xCbxE-PROS1(25-676)	0.04
12xCbxE-3D-F9(29-461)	0.04
12xCbxE-3D-F9(47-461)	0.05333333333333334
13xCbxE-PROZ	0.04
13xCbxE-PROZ(24-400)	0.04
16S	0.04
2-Methylbutyryl-lipoH2-K105-DBT	0.02666666666666667
2xHC-CHCHD2	0.02666666666666667
2xHC-INS(25-54)	0.25333333333333335
2xHC-INS(25-56)	0.02666666666666667
2xHC-Myri-INS(25-53)	0.02666666666666667
2xHC-TXN	0.21333333333333335
2xHC-TXN2	0.04
2xHP-EPAS1	0.06666666666666667
2xHP-HIF1A	0.06666666666666667
2xMe-SNRPB	0.02666666666666667
2xMe-SNRPD1	0.02666666666666667
2xMe-SNRPD3	0.02666666666666667
2xMyri-IL1A	0.02666666666666667
2xN4GlycoAsn-LY96	0.02666666666666667
2xN4GlycoAsn-TLR4	0.05333333333333334
2xPalmC-MyrG-NOS3	0.06666666666666667
2xPalmC-MyrG-p-S1177-NOS3	0.13333333333333333
3D-F10(32-179)	0.04
3D-PROC(33-197)	0.04
3OHD110-F9(29-461)	0.05333333333333334
3OHH216-RPL8	0.04
3OHH39-RPL27A	0.04
3OHK21-DRG2	0.04
3OHK22-DRG1	0.04
3OHP62-RPS23	0.04
3OHR141-RCCD1	0.04
3OHR147-RPS6	0.04
3S-Matriglycan-DAG1	0.04
3x4Hyp-3Hyp-5Hyl-COL1A1	0.12
3x4Hyp-3Hyp-5Hyl-COL1A2	0.12
3x4Hyp-3Hyp-5Hyl-COL2A1(182-1241)	0.10666666666666667
3x4Hyp-3Hyp-5Hyl-COL3A1	0.10666666666666667
3x4Hyp-3Hyp-5Hyl-COL7A1	0.04
3x4Hyp-3Hyp-COL1A1	0.12
3x4Hyp-3Hyp-COL1A2	0.12
3x4Hyp-3Hyp-COL2A1(182-1241)	0.10666666666666667
3x4Hyp-3Hyp-COL3A1	0.10666666666666667
3x4Hyp-3Hyp-COL7A1	0.04
3x4Hyp-3Hyp-GalHyl-COL1A1	0.12
3x4Hyp-3Hyp-GalHyl-COL1A2	0.12
3x4Hyp-3Hyp-GalHyl-COL2A1(182-1241)	0.10666666666666667
3x4Hyp-3Hyp-GalHyl-COL3A1	0.10666666666666667
3x4Hyp-3Hyp-GalHyl-COL7A1	0.04
3x4Hyp-3Hyp-GlcGalHyl-COL1A1	0.12
3x4Hyp-3Hyp-GlcGalHyl-COL1A2	0.12
3x4Hyp-3Hyp-GlcGalHyl-COL2A1(182-1241)	0.10666666666666667
3x4Hyp-3Hyp-GlcGalHyl-COL3A1	0.10666666666666667
3x4Hyp-3Hyp-GlcGalHyl-COL7A1	0.04
3x4Hyp-5Hyl-COL1A1	0.12
3x4Hyp-5Hyl-COL1A2	0.12
3x4Hyp-5Hyl-COL2A1(182-1241)	0.10666666666666667
3x4Hyp-5Hyl-COL3A1	0.10666666666666667
3x4Hyp-5Hyl-COL7A1	0.04
3x4Hyp-COL1A1	0.12
3x4Hyp-COL1A2	0.12
3x4Hyp-COL2A1(182-1241)	0.10666666666666667
3x4Hyp-COL3A1	0.10666666666666667
3x4Hyp-COL7A1	0.04
3x4Hyp-GalHyl-COL1A1	0.12
3x4Hyp-GalHyl-COL1A2	0.12
3x4Hyp-GalHyl-COL2A1(182-1241)	0.10666666666666667
3x4Hyp-GalHyl-COL3A1	0.10666666666666667
3x4Hyp-GalHyl-COL7A1	0.04
3x4Hyp-GlcGalHyl-COL1A1	0.12
3x4Hyp-GlcGalHyl-COL1A2	0.12
3x4Hyp-GlcGalHyl-COL2A1(182-1241)	0.10666666666666667
3x4Hyp-GlcGalHyl-COL3A1	0.10666666666666667
3x4Hyp-GlcGalHyl-COL7A1	0.04
3xCbxE-BGLAP(24-100)	0.04
